entity,term,count,,,entity,term,count,entity,term,count
Gene,WAVE2,3,,,,,,,,
Gene,Abi-1,3,,,,,,,,
Gene,5-HT(2A,3,,,,,,,,
Gene,5-HT(2A) receptor,3,,,,,,,,
Gene,Myocyte enhancer factor 2,3,,,,,,,,
Gene,Gal4,3,,,,,,,,
Gene,PEN-2,3,,,,,,,,
Gene,OFD1,3,,,,,,,,
Gene,Par-4,3,,,,,,,,
Gene,IMAC,3,,,,,,,,
Gene,mammalian target of rapamycin,3,,,,,,,,
Gene,ErbB-4,3,,,,,,,,
Gene,MASTR,3,,,,,,,,
Gene,Lrfn2,3,,,,,,,,
Gene,Lrfn4,3,,,,,,,,
Gene,FLRT3,3,,,,,,,,
Gene,TRIO,3,,,,,,,,
Gene,ATM,3,,,,,,,,
Gene,ATR,3,,,,,,,,
Gene,Beclin1,3,,,,,,,,
Gene,SAFB1,3,,,,,,,,
Gene,SOX3,3,,,,,,,,
Gene,HEB,3,,,,,,,,
Gene,neuroD2,3,,,,,,,,
Gene,Cabp5,3,,,,,,,,
Gene,eIF4E,3,,,,,,,,
Gene,PS1,3,,,,,,,,
Gene,KIAA1212,3,,,,,,,,
Gene,Mdm2,3,,,,,,,,
Gene,Kv1.2,3,,,,,,,,
Gene,Akap13,3,,,,,,,,
Gene,FLNC,3,,,,,,,,
Gene,Thorase,3,,,,,,,,
Gene,dipeptidase 3,3,,,,,,,,
Gene,Sema5B,3,,,,,,,,
Gene,KLHL12,3,,,,,,,,
Gene,M-CSF,3,,,,,,,,
Gene,Suv39h,3,,,,,,,,
Gene,BICD2,3,,,,,,,,
Gene,CENP-F,3,,,,,,,,
Gene,Vps34,3,,,,,,,,
Gene,thrombin,3,,,,,,,,
Gene,p62,3,,,,,,,,
Gene,c-Myc,3,,,,,,,,
Gene,PP2A,3,,,,,,,,
Gene,alpha1C,3,,,,,,,,
Gene,AKAP150,3,,,,,,,,
Gene,GluR1,3,,,,,,,,
Gene,ATG7,3,,,,,,,,
Gene,MBD2/3,3,,,,,,,,
Gene,JP2,3,,,,,,,,
Gene,FOXP3,3,,,,,,,,
Gene,Tbc1d21,3,,,,,,,,
Species,hamster,3,,,,,,,,
Species,C. elegans,3,,,,,,,,
Species,Aspergillus nidulans,3,,,,,,,,
Species,zebrafish,3,,,,,,,,
Chemical,Arg,3,,,,,,,,
Chemical,Calcium,3,,,,,,,,
Chemical,phorbol ester,3,,,,,,,,
Chemical,Tyrosine,3,,,,,,,,
Chemical,LPS,3,,,,,,,,
Chemical,6-mercaptopurine,3,,,,,,,,
Chemical,LTD4,3,,,,,,,,
Chemical,phosphoserine,3,,,,,,,,
Chemical,serotonin,3,,,,,,,,
Chemical,Thr,3,,,,,,,,
Chemical,titanium,3,,,,,,,,
Chemical,heme,3,,,,,,,,
Chemical,chloride,3,,,,,,,,
Chemical,juxtaparanodes,3,,,,,,,,
Chemical,I-BET151,3,,,,,,,,
Chemical,leucettines,3,,,,,,,,
Chromosome,chromosome 4,3,,,,,,,,
Disease,embryonal carcinoma,3,,,,,,,,
Disease,Lissencephaly,3,,,,,,,,
Disease,mental retardation,3,,,,,,,,
Disease,neurodegeneration,3,,,,,,,,
Disease,depression,3,,,,,,,,
Disease,brain malformation,3,,,,,,,,
Disease,FRDA,3,,,,,,,,
Disease,neuronal migration disorder,3,,,,,,,,
Disease,embryonic,3,,,,,,,,
Disease,behavioral deficits,3,,,,,,,,
Disease,hyperactivity,3,,,,,,,,
Disease,neurodegenerative diseases,3,,,,,,,,
Disease,Von Gierke\'s disease,3,,,,,,,,
Disease,colorectal cancer,3,,,,,,,,
Disease,heart failure,3,,,,,,,,
Disease,manic,3,,,,,,,,
Disease,OFD,3,,,,,,,,
Disease,autism spectrum disorder,3,,,,,,,,
Disease,male infertility,3,,,,,,,,
CellLine,SC-3,3,,,,,,,,
CellLine,CHO,3,,,,,,,,
CellLine,ECs,3,,,,,,,,
CellLine,HeLa,3,,,,,,,,
CellLine,HepG2,3,,,,,,,,
CellLine,B-cell,3,,,,,,,,
CellLine,RAW264.7,3,,,,,,,,
ProteinMutation,T402E,3,,,,,,,,
ProteinMutation,tyrosine residue 1106,3,,,,,,,,
DNAMutation,C273,3,,,,,,,,
DNAMutation,C288,3,,,,,,,,
Gene,hyk,2,,,,,,,,
Gene,mFR1,2,,,,,,,,
Gene,brain class C,2,,,,,,,,
Gene,growth hormone,2,,,,,,,,
Gene,CaCh 1,2,,,,,,,,
Gene,CaCh 3,2,,,,,,,,
Gene,protein tyrosine kinase,2,,,,,,,,
Gene,ErbB2,2,,,,,,,,
Gene,erbB2,2,,,,,,,,
Gene,MCM,2,,,,,,,,
Gene,hepatocyte growth factor,2,,,,,,,,
Gene,TFIID,2,,,,,,,,
Gene,fibroblast growth factor (FGF) receptor 1,2,,,,,,,,
Gene,LIS-1,2,,,,,,,,
Gene,bFGF,2,,,,,,,,
Gene,CA1,2,,,,,,,,
Gene,trithorax,2,,,,,,,,
Gene,Tie,2,,,,,,,,
Gene,TIE,2,,,,,,,,
Gene,Interferon-gamma,2,,,,,,,,
Gene,CHD-1,2,,,,,,,,
Gene,Adenylosuccinate lyase,2,,,,,,,,
Gene,glucocorticoid receptor-interacting protein 1,2,,,,,,,,
Gene,FGF 1,2,,,,,,,,
Gene,CKII,2,,,,,,,,
Gene,semF,2,,,,,,,,
Gene,serum response factor,2,,,,,,,,
Gene,NCoA-1,2,,,,,,,,
Gene,heparin-binding EGF-like growth factor,2,,,,,,,,
Gene,Bruton\'s tyrosine kinase,2,,,,,,,,
Gene,phosphatidyl inositol 3-kinase,2,,,,,,,,
Gene,NRG-1,2,,,,,,,,
Gene,Metaxin 1,2,,,,,,,,
Gene,Metaxin 2,2,,,,,,,,
Gene,cullin,2,,,,,,,,
Gene,VEGFR-2,2,,,,,,,,
Gene,FGF-10,2,,,,,,,,
Gene,p42/p44 MAP kinase,2,,,,,,,,
Gene,doublecortin,2,,,,,,,,
Gene,Cdk5/p35,2,,,,,,,,
Gene,NudE-L,2,,,,,,,,
Gene,p21,2,,,,,,,,
Gene,Bcl-2,2,,,,,,,,
Gene,ERK,2,,,,,,,,
Gene,p38,2,,,,,,,,
Gene,glutamate receptor interacting protein 1,2,,,,,,,,
Gene,steroid receptor coactivator,2,,,,,,,,
Gene,GRIP-1,2,,,,,,,,
Gene,Fibulin-5,2,,,,,,,,
Gene,DANCE,2,,,,,,,,
Gene,elastin,2,,,,,,,,
Gene,filamin-Avar-1,2,,,,,,,,
Gene,GTF2IRD1,2,,,,,,,,
Gene,Prop1,2,,,,,,,,
Gene,AP1,2,,,,,,,,
Gene,angiopoietin-2,2,,,,,,,,
Gene,NF-kappa B,2,,,,,,,,
Gene,Dok-1,2,,,,,,,,
Gene,PAFAH1B1,2,,,,,,,,
Gene,epidermal growth factor receptor,2,,,,,,,,
Gene,histone deacetylase,2,,,,,,,,
Gene,SAF-B,2,,,,,,,,
Gene,PAF acetylhydrolase,2,,,,,,,,
Gene,ERBB,2,,,,,,,,
Gene,Scar,2,,,,,,,,
Gene,CIPP,2,,,,,,,,
Gene,androgen receptor,2,,,,,,,,
Gene,beta1-adrenergic receptor,2,,,,,,,,
Gene,Arf1,2,,,,,,,,
Gene,FGFR,2,,,,,,,,
Gene,APH-1a,2,,,,,,,,
Gene,Abeta,2,,,,,,,,
Gene,Sema5a,2,,,,,,,,
Gene,SENP1,2,,,,,,,,
Gene,SuPr-2,2,,,,,,,,
Gene,NDE1,2,,,,,,,,
Gene,Cdk9,2,,,,,,,,
Gene,CTD,2,,,,,,,,
Gene,Cullin3,2,,,,,,,,
Gene,PCM-1,2,,,,,,,,
Gene,SSB-1,2,,,,,,,,
Gene,SSB-4,2,,,,,,,,
Gene,Neh2,2,,,,,,,,
Gene,SRF,2,,,,,,,,
Gene,Lrfn3,2,,,,,,,,
Gene,Lrfn5,2,,,,,,,,
Gene,prolactin,2,,,,,,,,
Gene,HB-EGF,2,,,,,,,,
Gene,BRCA1,2,,,,,,,,
Gene,c-myc,2,,,,,,,,
Gene,BetaKlotho,2,,,,,,,,
Gene,Becn1,2,,,,,,,,
Gene,BAF45a,2,,,,,,,,
Gene,Sox3,2,,,,,,,,
Gene,dual-specificity tyrosine phosphorylation-regulated kinase 1A,2,,,,,,,,
Gene,septin 4,2,,,,,,,,
Gene,NR2A,2,,,,,,,,
Gene,Fibrinogen,2,,,,,,,,
Gene,VWF,2,,,,,,,,
Gene,VE-cadherin,2,,,,,,,,
Gene,X-linked inhibitor of apoptosis protein,2,,,,,,,,
Gene,MPP4,2,,,,,,,,
